WardNo,Registered,TotalBallots,ppmVoterTurnout,ppmDemPOTUS,ppmRepPOTUS,ppmDemAverage,ppmRepAverage,logitAverage,ppmDemMaxes,ppmRepMaxes,logitMaxes,ppmDemREPUS,ppmRepREPUS,ppmDemSenWi,ppmRepSenWi,ppmDemRepWi,ppmRepRepWi,ppmDemMinor,ppmRepMinor,WardName
 337,1914,1600, 835945, 535625, 446875, 517500, 405625, 497564, 666875, 405625, 495028, 517500, 405625,      0,      0, 666875,      0, 657500,      0,City of Cudahy Wards 789
 338,2237,1926, 860974, 500000, 485981, 463136, 464174, 500022, 627206, 464174, 496989, 463136, 464174,      0,      0, 627206,      0, 618899,      0,City of Cudahy Wards 101112
 339,2509,2193, 874053, 509803, 478796, 484268, 457820, 499438, 645234, 457820, 496568, 484268, 457820,      0,      0, 645234,      0, 638394,      0,City of Cudahy Wards 131415
 340,2413,2210, 915872, 693665, 290045, 611462, 358823, 494669, 714027, 362443, 493219, 598190, 357013, 614479, 362443, 621719, 357013, 714027,      0,V. Fox Point Wards 1234
 341,3021,2793, 924528, 701396, 282133, 651748, 315550, 492746, 736126, 320085, 491671, 642678, 307554, 657357, 319011, 655209, 320085, 736126,      0,V. Fox Point Wards 56789
 343,1616,1537, 951113, 410540, 571242, 362827, 594447, 504937, 591411, 628497, 500608, 345478, 628497, 377358, 585556, 365647, 569290, 591411,      0,City of Franklin Ward 2
 344,1715,1603, 934693, 468496, 513412, 412975, 545019, 502774, 645040, 572676, 498810, 393636, 572676, 422956, 543980, 422333, 518402, 645040,      0,City of Franklin Ward 3
 345, 892, 799, 895739, 401752, 588235, 362953, 598247, 504997, 607008, 629536, 500364, 340425, 629536, 372966, 593241, 375469, 571964, 607008,      0,City of Franklin Ward 4
 346, 692, 661, 955202, 432677, 558245, 401915, 563791, 503384, 639939, 583963, 499084, 388804, 583963, 409984, 561270, 406959, 546142, 639939,      0,City of Franklin Ward 5
 347,1186,1098, 925801, 450819, 530054, 398603, 552823, 503270, 596539, 583788, 499783, 374316, 583788, 406193, 550091, 415300, 524590, 596539,      0,City of Franklin Ward 6
 348,1499,1439, 959973, 451702, 539958, 409543, 552003, 502985, 610145, 587213, 499616, 384294, 587213, 417651, 544127, 426685, 524669, 610145,      0,City of Franklin Ward 7
 349,1051,1007, 958135, 549155, 425024, 502151, 428996, 498425, 676266, 459781, 496141, 485600, 459781, 508440, 437934, 512413, 389275, 676266,      0,City of Franklin Ward 8
 350,1084,1005, 927121, 519402, 466666, 465339, 474958, 500204, 641791, 498507, 497473, 457711, 498507, 474626, 476616, 463681, 449751, 641791,      0,City of Franklin Ward 9
 351, 472, 447, 947033, 541387, 440715, 468307, 481729, 500282, 628635, 525727, 498212, 429530, 525727, 494407, 463087, 480984, 456375, 628635,      0,City of Franklin Ward 10
 352,1305,1212, 928735, 445544, 538778, 410890, 545929, 502841, 601485, 581683, 499665, 386963, 581683, 425742, 532178, 419966, 523927, 601485,      0,City of Franklin Ward 11
 353, 943, 851, 902439, 396004, 589894, 363102, 612220, 505224, 593419, 626321, 500539, 350176, 626321,      0,      0, 376028, 598119, 593419,      0,City of Franklin Ward 12
 354,1275,1205, 945098, 458091, 526970, 410788, 550206, 502922, 588381, 573443, 499742, 395850, 573443, 418257, 548547, 418257, 528630, 588381,      0,City of Franklin Ward 13
 355,1117,1035, 926589, 477294, 510144, 422222, 530434, 502281, 617391, 571014, 499219, 397101, 571014, 431884, 522705, 437681, 497584, 617391,      0,City of Franklin Ward 14
 356, 621, 543, 874396, 384898, 607734, 342541, 604051, 505672, 587476, 633517, 500754, 329650, 633517, 351749, 596685, 346224, 581952, 587476,      0,City of Franklin Ward 15A
