WardNo,Registered,TotalBallots,ppmVoterTurnout,ppmDemPOTUS,ppmRepPOTUS,ppmDemAverage,ppmRepAverage,logitAverage,ppmDemMaxes,ppmRepMaxes,logitMaxes,ppmDemREPUS,ppmRepREPUS,ppmDemSenWi,ppmRepSenWi,ppmDemRepWi,ppmRepRepWi,ppmDemMinor,ppmRepMinor,WardName
 156,1027, 697, 678675, 912482,  71736, 905308,  60258, 472903, 906743,  65997, 473797, 903873,  54519, 906743,  65997, 899569,      0, 895265,      0,City of Milwaukee Ward 156
 157, 696, 503, 722701, 882703,  91451, 863816, 100397, 478477, 866799, 105367, 478926, 860834, 105367, 866799,  95427, 866799,      0, 833001,      0,City of Milwaukee Ward 157
 158, 625, 459, 734400, 934640,  45751, 932461,  40304, 468586, 932461,  43572, 469365, 932461,  43572, 932461,  37037, 912854,      0, 888888,      0,City of Milwaukee Ward 158
 159, 617, 452, 732576, 884955,  99557, 880530,  89601, 477148, 889380,  92920, 477412, 871681,  86283, 889380,  92920, 869469,      0, 860619,      0,City of Milwaukee Ward 159
 160, 772, 554, 717616, 958483,  25270, 948555,  23465, 463005, 958483,  25270, 463642, 958483,  21660, 938628,  25270, 947653,      0, 918772,      0,City of Milwaukee Ward 160
 161, 248, 190, 766129, 952631,  36842, 938596,  26315, 464257, 963157,  36842, 467364, 963157,  21052, 936842,  21052, 915789,  36842, 921052,      0,City of Milwaukee Ward 161
 162, 509, 349, 685658, 916905,  74498, 890161,  59216, 472897, 893982,  63037, 473480, 893982,  57306, 893982,  57306, 882521,  63037, 879656,      0,City of Milwaukee Ward 162
 163, 873, 617, 706758, 933549,  56726, 904915,  49162, 470872, 923824,  55105, 471807, 905996,  48622, 923824,  43760, 884927,  55105, 905996,      0,City of Milwaukee Ward 163
 164,1036, 794, 766409, 876574, 115869, 848446, 108312, 479416, 874055, 115869, 479793, 858942, 103274, 846347, 105793, 840050, 115869, 874055,      0,City of Milwaukee Ward 164
 165,1015, 773, 761576, 805950, 177231, 799913, 158688, 483824, 849935, 169469, 483875, 793014, 152652, 816300, 153945, 790426, 169469, 849935,      0,City of Milwaukee Ward 165
 166, 401, 318, 793017, 871069, 106918, 836477, 127882, 481219, 899371, 141509, 481506, 833333, 119496, 855345, 122641, 820754, 141509, 899371,      0,City of Milwaukee Ward 166
 167, 980, 815, 831632, 808588, 165644, 799999, 168711, 484435, 857668, 170552, 483848, 790184, 170552, 809815, 166871, 857668,      0, 842944,      0,City of Milwaukee Ward 167
 168,1754,1503, 856898, 801064, 176314, 769793, 195608, 486299, 842315, 198935, 485568, 759813, 198935, 779773, 192282, 842315,      0, 818363,      0,City of Milwaukee Ward 168
 169, 698, 447, 640401, 908277,  78299, 900447,  54809, 472009, 903803,  58165, 472566, 897091,  51454, 903803,  58165, 870246,      0, 870246,      0,City of Milwaukee Ward 169
 170, 531, 375, 706214, 845333, 133333, 883999,  63999, 473744, 909333,  66666, 473869, 882666,  61333, 885333,  66666, 845333,      0, 909333,      0,City of Milwaukee Ward 170
 171, 237, 147, 620253, 727891, 244897, 802720, 105441, 479701, 823129, 129251, 481486, 816326,  81632, 789115, 129251, 823129,      0, 802721,      0,City of Milwaukee Ward 171
 172, 628, 436, 694267, 915137,  68807, 901375,  47018, 470466, 910550,  48165, 470605, 910550,  48165, 892201,  45871, 816513,      0, 834862,      0,City of Milwaukee Ward 172
 173, 782, 598, 764705, 948160,  36789, 938126,  26755, 464428, 939799,  28428, 465017, 939799,  28428, 936454,  25083, 901337,      0, 904682,      0,City of Milwaukee Ward 173
 174,1122, 833, 742424, 933973,  46818, 929171,  36013, 467495, 929171,  37214, 467823, 929171,  34813, 929171,  37214, 902761,      0, 908763,      0,City of Milwaukee Ward 174
 175, 729, 574, 787379, 909407,  76655, 885017,  74041, 475190, 891986,  76655, 475458, 891986,  76655, 878048,  71428, 857142,      0, 874564,      0,City of Milwaukee Ward 175
 176, 972, 713, 733539, 936886,  50490, 905329,  47685, 470563, 906030,  47685, 470555, 906030,  47685, 904628,  47685, 863955,      0, 873772,      0,City of Milwaukee Ward 176
 177,2673,2187, 818181, 817101, 160951, 779606, 187471, 485748, 841335, 192501, 485251, 775491, 182441, 783721, 192501, 757658,      0, 841335,      0,City of Milwaukee Ward 177
 178,2062,1732, 839961, 793302, 180138, 750288, 202078, 486881, 836027, 206120, 485997, 744226, 198036,      0,      0, 756351, 206120, 836027,      0,City of Milwaukee Ward 178
 179,2013,1560, 774962, 857051, 125000, 813461, 141345, 482499, 854487, 145512, 482297, 814743, 137179,      0,      0, 812179, 145512, 854487,      0,City of Milwaukee Ward 179
 180,1493,1190, 797052, 802521, 181512, 744537, 207982, 487246, 828571, 209243, 486237, 742857, 209243,      0,      0, 746218, 206722, 828571,      0,City of Milwaukee Ward 180
 181,2012,1657, 823558, 777308, 201569, 716957, 231442, 488693, 796620, 236572, 487858, 715147, 226312,      0,      0, 718768, 236572, 796620,      0,City of Milwaukee Ward 181
 182,2064,1628, 788759, 815724, 159090, 772112, 179667, 485419, 858108, 180589, 484414, 765970, 178746,      0,      0, 778255, 180589, 858108,      0,City of Milwaukee Ward 182
 183,3071,2456, 799739, 780944, 196254, 718444, 235952, 488865, 818811, 240228, 487737, 717426, 231677,      0,      0, 719462, 240228, 818811,      0,City of Milwaukee Ward 183
 184,1842,1509, 819218, 732935, 240556, 694830, 248508, 489718, 774022, 249171, 488665, 691848, 247846,      0,      0, 697813, 249171, 774022,      0,City of Milwaukee Ward 184
 185,2603,2015, 774106, 759801, 209429, 701736, 254342, 489851, 821339, 265012, 488688, 703225, 243672,      0,      0, 700248, 265012, 821339,      0,City of Milwaukee Ward 185
 186,3072,2544, 828125, 705581, 273584, 636006, 320361, 493142, 777515, 320754, 491145, 631289, 319968,      0,      0, 640723, 320754, 777515,      0,City of Milwaukee Ward 186
 187, 939, 735, 782747, 779591, 200000, 724489, 239455, 488928, 861224, 239455, 487200, 714285, 239455, 734693, 239455, 734693,      0, 861224,      0,City of Milwaukee Ward 187
 188, 728, 570, 782967, 752631, 222807, 707017, 256140, 489846, 819298, 268421, 488841, 710526, 243859, 703508, 268421, 703508,      0, 819298,      0,City of Milwaukee Ward 188
 189, 964, 783, 812240, 793103, 174968, 768837, 199233, 486495, 851851, 203065, 485661, 765006, 195402, 772669, 203065, 775223,      0, 851851,      0,City of Milwaukee Ward 189
 190,1448, 918, 633977, 746187, 237472, 698801, 246731, 489589, 830065, 249455, 487977, 699346, 244008, 698257, 249455, 710239,      0, 830065,      0,City of Milwaukee Ward 190
 191, 932, 550, 590128, 725454, 256363, 654545, 289999, 491859, 840000, 290909, 489396, 647272, 289090, 661818, 290909, 696363,      0, 840000,      0,City of Milwaukee Ward 191
 192,1307, 829, 634276, 792521, 183353, 741254, 208685, 487324, 873341, 217129, 486081, 741857, 200241, 740651, 217129, 873341,      0, 870928,      0,City of Milwaukee Ward 192
 193, 818, 562, 687041, 873665, 110320, 864768,  87188, 477056, 870106,  94306, 477779, 870106,  80071, 859430,  94306, 822064,      0, 838078,      0,City of Milwaukee Ward 193
 194, 714, 502, 703081, 846613, 109561, 852589,  99601, 478528, 876494,  99601, 478252, 850597,  99601, 854581,  99601, 858565,      0, 876494,      0,City of Milwaukee Ward 194
 195, 665, 426, 640601, 896713,  89201, 868544,  84506, 476700, 884976,  91549, 477313, 852112,  91549, 884976,  77464, 849765,      0, 835680,      0,City of Milwaukee Ward 195
 196,1065, 723, 678873, 872752, 109266, 852696, 101659, 478732, 865836, 109266, 479300, 850622,  94052, 854771, 109266, 865836,      0, 865836,      0,City of Milwaukee Ward 196
 197, 436, 316, 724770, 841772, 142405, 810126, 124999, 481311, 816455, 132911, 481847, 803797, 117088, 816455, 132911, 803797,      0, 813291,      0,City of Milwaukee Ward 197
 198,1087, 618, 568537, 878640, 111650, 839805,  96278, 478340, 846278,  97087, 478347, 846278,  95469, 833333,  97087, 828478,      0, 781553,      0,City of Milwaukee Ward 198
 199, 698, 502, 719197, 914342,  65737, 878485,  45816, 470464, 884462,  45816, 470396, 884462,  45816, 872509,  45816, 836653,      0, 834661,      0,City of Milwaukee Ward 199
 200, 509, 387, 760314, 860465, 121447, 832041, 112403, 479982, 860465, 118863, 480204, 829457, 118863, 834625, 105943, 860465,      0, 826873,      0,City of Milwaukee Ward 200
 201, 510, 344, 674509, 848837, 127906, 851744,  98837, 478461, 866279, 101744, 478582, 845930,  95930, 857558, 101744, 866279,      0, 854651,      0,City of Milwaukee Ward 201
 202, 943, 780, 827147, 815384, 170512, 795512, 163461, 484175, 832051, 165384, 483843, 791025, 165384, 800000, 161538, 832051,      0, 812820,      0,City of Milwaukee Ward 202
 203,1176,1017, 864795, 793510, 188790, 775319, 188298, 485847, 830875, 189773, 485233, 767944, 189773, 782694, 186823, 830875,      0, 804326,      0,City of Milwaukee Ward 203
 204,1036, 879, 848455, 771331, 211604, 739476, 220136, 487883, 838452, 221843, 486704, 737201, 218430, 741751, 221843, 838452,      0, 824800,      0,City of Milwaukee Ward 204
 205, 922, 793, 860086, 721311, 248423, 688524, 265447, 490468, 765447, 269861, 489574, 680958, 261034, 696090, 269861, 765447,      0, 752837,      0,City of Milwaukee Ward 205
 206, 736, 655, 889945, 731297, 248854, 671755, 251908, 490191, 778625, 251908, 488715, 671755, 251908,      0,      0, 778625,      0, 764885,      0,City of Milwaukee Ward 206
 207, 865, 730, 843930, 610958, 369863, 582191, 360273, 495200, 726027, 360273, 492992, 582191, 360273,      0,      0, 726027,      0, 706849,      0,City of Milwaukee Ward 207
 208, 988, 835, 845141, 613173, 361676, 602395, 353293, 494663, 755688, 361676, 492631, 592814, 344910,      0,      0, 611976, 361676, 755688,      0,City of Milwaukee Ward 208
 209, 865, 763, 882080, 593709, 386631, 543249, 416120, 497334, 719528, 418086, 494570, 519003, 418086,      0,      0, 567496, 414154, 719528,      0,City of Milwaukee Ward 209
 210, 818, 691, 844743, 513748, 455861, 473227, 492763, 500404, 751085, 499276, 495916, 457308, 499276,      0,      0, 489146, 486251, 751085,      0,City of Milwaukee Ward 210
 211, 933, 771, 826366, 597924, 369649, 583657, 368352, 495397, 754863, 372243, 492930, 568093, 364461,      0,      0, 599221, 372243, 754863,      0,City of Milwaukee Ward 211
 212,1046, 843, 805927, 609727, 367734, 596085, 358837, 494924, 743772, 361803, 492793, 582443, 355871,      0,      0, 609727, 361803, 743772,      0,City of Milwaukee Ward 212
 213,1085, 884, 814746, 643665, 332579, 626696, 295248, 492473, 713800, 295248, 491172, 626696, 295248,      0,      0, 713800,      0, 708144,      0,City of Milwaukee Ward 213
 214, 532, 441, 828947, 759637, 226757, 744897, 214285, 487540, 818594, 215419, 486649, 734693, 213151, 755102, 215419, 818594,      0, 809523,      0,City of Milwaukee Ward 214
